State,Coal,Natural Gas,Crude Oi,Nuclear Electric Power,Biofuels,Wood and Waste,Other,Total
Alabama,313.3,124.8,24.5,454.8,1.6,166.3,120.7,"1,205.9"
Alaska,15.5,376.3,932.5,0.0,0.0,7.8,16.9,"1,349.0"
Arizona,0.0,0.1,(s),329.5,0.0,9.6,142.5,481.6
Arkansas,0.0,490.0,23.6,157.3,8.4,59.3,43.8,782.4
California,0.0,192.1,814.5,169.8,20.3,148.3,845.3,"2,190.2"
Colorado,210.5,"2,423.5",955.1,0.0,18.2,15.4,152.5,"3,775.3"
Connecticut,0.0,0.0,0.0,164.1,2.6,22.5,12.3,201.5
Delaware,0.0,0.0,0.0,0.0,0.0,1.5,2.1,3.6
District of Columbia,0.0,0.0,0.0,0.0,0.0,1.0,1.2,2.1
Florida,0.0,1.0,8.5,307.2,0.2,151.4,106.6,574.9
Georgia,0.0,0.0,0.0,342.8,8.0,227.6,77.6,656.0
Hawaii,0.0,0.0,0.0,0.0,0.5,4.4,23.1,28.0
Idaho,0.0,0.1,(s),0.0,2.1,33.8,115.8,151.7
Illinois,689.5,2.0,40.8,"1,046.8",212.4,17.5,151.3,"2,160.2"
Indiana,450.8,4.4,8.0,0.0,144.5,35.6,66.9,710.2
Iowa,0.0,0.0,0.0,30.3,568.9,18.9,312.2,930.3
Kansas,0.0,189.0,160.8,110.5,79.9,7.0,212.4,759.6
Kentucky,571.1,81.7,12.9,0.0,12.1,30.7,47.5,756.0
Louisiana,9.4,"3,311.8",208.9,177.0,0.0,116.1,15.1,"3,838.3"
Maine,0.0,0.0,0.0,0.0,(s),82.9,50.0,132.9
Maryland,27.4,(s),0.0,157.5,0.0,13.5,33.7,232.1
Massachusetts,0.0,0.0,0.0,0.0,0.1,30.5,43.3,73.9
Michigan,0.0,69.9,23.9,316.7,43.1,99.4,82.5,635.5
Minnesota,0.0,0.0,0.0,153.3,165.7,56.8,129.4,505.2
Mississippi,26.6,29.0,80.6,67.6,3.2,56.2,4.9,268.1
Missouri,3.4,(s),0.4,80.8,64.7,25.0,50.3,224.6
Montana,469.1,42.4,108.0,0.0,0.0,15.9,122.1,757.4
Nebraska,0.0,0.4,9.5,64.6,243.5,4.7,94.1,416.8
Nevada,0.0,(s),1.1,0.0,0.0,3.4,111.9,116.4
New Hampshire,0.0,0.0,0.0,103.0,0.3,28.5,16.9,148.7
New Jersey,0.0,0.0,0.0,279.2,0.0,15.9,36.0,331.1
New Mexico,191.3,"2,277.9","2,108.0",0.0,0.0,11.7,84.7,"4,673.7"
New York,0.0,10.0,1.6,401.3,10.0,87.3,328.9,839.0
North Carolina,0.0,0.0,0.0,442.0,0.2,129.4,151.6,723.1
North Dakota,364.3,"1,211.3","2,475.0",0.0,80.5,1.8,142.1,"4,275.0"
Ohio,88.3,"2,611.8",135.6,190.2,81.5,49.0,30.6,"3,186.9"
Oklahoma,(s),"3,244.4",977.4,0.0,4.8,34.9,284.0,"4,545.6"
Oregon,0.0,0.3,0.0,0.0,5.9,74.5,373.1,453.9
Pennsylvania,908.8,"7,563.6",31.5,799.0,16.7,106.8,65.6,"9,492.1"
Rhode Island,0.0,0.0,0.0,0.0,0.6,4.5,6.3,11.4
South Carolina,0.0,0.0,0.0,571.7,0.0,107.8,52.9,732.4
South Dakota,0.0,0.4,6.0,0.0,157.2,3.1,101.7,268.4
Tennessee,2.4,2.9,0.9,383.1,27.5,52.3,122.2,591.3
Texas,262.5,"11,464.9","10,109.8",432.7,58.8,87.8,912.6,"23,329.1"
Utah,296.2,265.9,176.1,0.0,0.0,5.1,45.7,789.1
Vermont,0.0,0.0,0.0,0.0,0.0,21.0,16.5,37.5
Virginia,251.9,107.9,(s),314.7,0.5,112.8,34.0,821.8
Washington,0.0,0.0,0.0,98.4,9.6,106.1,755.5,969.7
West Virginia,"1,748.4","3,121.9",108.5,0.0,0.0,10.6,30.8,"5,020.2"
Wisconsin,0.0,0.0,0.0,102.0,66.5,91.7,42.7,303.0
Wyoming,"3,822.6","1,489.9",507.0,0.0,0.0,4.8,60.1,"5,884.4"
,,,,,,,,
Federal Offshore - Gulf of Mexico,—,913.3,"3,424.5",—,—,—,—,"4,337.8"
Federal Offshore - Pacific,—,(g),26.0,—,—,—,—,26.0
,,,,,,,,
United States,"10,723.1","41,624.9","23,501.3","8,247.9","2,120.5","2,610.4","6,882.6","95,710.9"
,,,,,,,,
,,,,,,,,
a  Includes refuse recovery.,,,,"f  Consumption of noncombustible renewable energy, including ",,,,
b  Marketed production.,,,,"geothermal, hydroelectric power, solar, and wind energy.",,,,
c  Includes lease condensate.,,,,g  Production of federal offshore natural gas along the Pacific,,,,
d  Biomass inputs (feedstock) to the production of ethanol and biodiesel.,,,,coast is included in California.,,,,
e  Wood energy production and biomass waste energy consumption.,,,,— = Not applicable.  (s) = Less than 0.05 trillion Btu.,,,,
,,,,,,,,
Note: Totals may not equal sum of components due to independent rounding.,,,,,,,,
"Sources: Data sources, estimation procedures, and assumptions are described in the documentation at ",,,,,,,,
http://www.eia.gov/state/seds/seds-technical-notes-complete.php.,,,,,,,,
